Type, Ing, Ing1, Ing2, Ing3, Ing4, Ing5, Ing6, Ing7, Ing8, Ing9, Ing10, Rating
Main, chicken breast fillets, light soy sauce, barbecue sauce, flour, navel oranges, coconut oil, null, null, null, null, null, 0.75
Main, flour, light soy sauce, barbecue sauce, chicken breast fillets, navel oranges, coconut oil, null, null, null, null, null, 0.75
Main, coconut oil, flour, light soy sauce, barbecue sauce, navel oranges, chicken breast fillets, null, null, null, null, null, 0.75
Main, navel oranges, barbecue sauce, coconut oil, chicken breast fillets, light soy sauce, flour, null, null, null, null, null, 0.75
Main, barbecue sauce, flour, navel oranges, light soy sauce, chicken breast fillets, coconut oil, null, null, null, null, null, 0.75
Main, light soy sauce, barbecue sauce, flour, chicken breast fillets, coconut oil, navel oranges, null, null, null, null, null, 0.75
Main, chicken thighs, maple syrup, dijon mustard, pepper, rice vinegar, salt, fresh rosemary, null, null, null, null, 0.5
Main, dijon mustard, maple syrup, rice vinegar, salt, chicken thighs, pepper, fresh rosemary, null, null, null, null, 0.5
Main, maple syrup, fresh rosemary, dijon mustard, rice vinegar, salt, chicken thighs, pepper, null, null, null, null, 0.5
Main, rice vinegar, pepper, salt, fresh rosemary, dijon mustard, chicken thighs, maple syrup, null, null, null, null, 0.5
Main, fresh rosemary, rice vinegar, salt, maple syrup, pepper, dijon mustard, chicken thighs, null, null, null, null, 0.5
Main, salt, pepper, rice vinegar, fresh rosemary, dijon mustard, maple syrup, chicken thighs, null, null, null, null, 0.5
Main, pepper, fresh rosemary, dijon mustard, rice vinegar, salt, maple syrup, chicken thighs, null, null, null, null, 0.5
Main, boneless skinless chicken breasts, lime, ground cumin, salt, fresh cilantro, olive oil, cayenne pepper, null, null, null, null, 0.75
Main, fresh cilantro, lime, olive oil, salt, cayenne pepper, boneless skinless chicken breasts, ground cumin, null, null, null, null, 0.75
Main, lime, salt, olive oil, boneless skinless chicken breasts, fresh cilantro, cayenne pepper, ground cumin, null, null, null, null, 0.75
Main, olive oil, boneless skinless chicken breasts, salt, cayenne pepper, ground cumin, lime, fresh cilantro, null, null, null, null, 0.75
